P_id,CellSize,P_Area_ha_Excel
7,113,100.12
216,113,100.12
273,113,100.12
298,113,100.12
661,113,100.12
758,113,100.12
801,113,100.12
1143,113,100.12
1357,113,100.12
1456,113,100.12
1838,113,100.12
2060,113,100.12
2210,113,100.12
2235,113,100.12
2391,113,100.12
2434,113,100.12
2582,113,100.12
2646,113,100.12
2678,113,100.12
2871,113,100.12
2961,113,100.12
3148,113,100.12
3233,113,100.12
3413,113,100.12
3423,113,100.12
3489,113,100.12
3692,113,100.12
3716,113,100.12
4180,113,100.12
4297,113,100.12
4458,113,100.12
4527,113,100.12
4543,113,100.12
4578,113,100.12
4793,113,100.12
4856,113,100.12
5070,113,100.12
5334,113,100.12
5582,113,100.12
5668,113,100.12
5841,113,100.12
6112,113,100.12
6320,113,100.12
6628,113,100.12
6633,113,100.12
6669,113,100.12
6733,113,100.12
6761,113,100.12
6766,113,100.12
6825,113,100.12
6987,113,100.12
7043,113,100.12
7099,113,100.12
7209,113,100.12
7230,113,100.12
7266,113,100.12
7294,113,100.12
7437,113,100.12
7640,113,100.12
7829,113,100.12
7867,113,100.12
8004,113,100.12
8064,113,100.12
8192,113,100.12
8234,113,100.12
8322,113,100.12
8384,113,100.12
8594,113,100.12
8640,113,100.12
8851,113,100.12
9040,113,100.12
9105,113,100.12
9147,113,100.12
9415,113,100.12
9498,113,100.12
9570,113,100.12
9839,113,100.12
9887,113,100.12
10219,113,100.12
10313,113,100.12
10362,113,100.12
10483,113,100.12
10485,113,100.12
10556,113,100.12
10593,113,100.12
10602,113,100.12
10681,113,100.12
10708,113,100.12
10710,113,100.12
11011,113,100.12
11025,113,100.12
11052,113,100.12
11240,113,100.12
11362,113,100.12
11438,113,100.12
11454,113,100.12
11481,113,100.12
11588,113,100.12
11643,113,100.12
11685,113,100.12
11796,113,100.12
11857,113,100.12
11901,113,100.12
12170,113,100.12
12175,113,100.12
12329,113,100.12
12512,113,100.12
12529,113,100.12
12554,113,100.12
12574,113,100.12
12677,113,100.12
12816,113,100.12
13261,113,100.12
13382,113,100.12
13459,113,100.12
13473,113,100.12
13644,113,100.12
13858,113,100.12
13864,113,100.12
13999,113,100.12
14103,113,100.12
14160,113,100.12
14324,113,100.12
14375,113,100.12
14501,113,100.12
14557,113,100.12
14648,113,100.12
14719,113,100.12
14837,113,100.12
14897,113,100.12
15010,113,100.12
15030,113,100.12
15510,113,100.12
15542,113,100.12
15818,113,100.12
15887,113,100.12
15929,113,100.12
16010,113,100.12
16139,113,100.12
16253,113,100.12
16388,113,100.12
16401,113,100.12
16419,113,100.12
16483,113,100.12
16846,113,100.12
16925,113,100.12
17106,113,100.12
17333,113,100.12
17596,113,100.12
17628,113,100.12
17668,113,100.12
17777,113,100.12
17862,113,100.12
17882,113,100.12
18339,113,100.12
18401,113,100.12
18589,113,100.12
18690,113,100.12
18813,113,100.12
18819,113,100.12
18917,113,100.12
19044,113,100.12
19063,113,100.12
19108,113,100.12
19154,113,100.12
19165,113,100.12
19216,113,100.12
19560,113,100.12
19816,113,100.12
19847,113,100.12
19872,113,100.12
19894,113,100.12
19926,113,100.12
19930,113,100.12
19992,113,100.12
20203,113,100.12
20297,113,100.12
20419,113,100.12
20426,113,100.12
20703,113,100.12
20837,113,100.12
21238,113,100.12
21277,113,100.12
21306,113,100.12
21361,113,100.12
21555,113,100.12
21618,113,100.12
21884,113,100.12
22209,113,100.12
22271,113,100.12
22361,113,100.12
22512,113,100.12
22554,113,100.12
22761,113,100.12
22855,113,100.12
22987,113,100.12
23117,113,100.12
23371,113,100.12
23606,113,100.12
24115,113,100.12
24128,113,100.12
24208,113,100.12
24569,113,100.12
24640,113,100.12
24677,113,100.12
24801,113,100.12
24828,113,100.12
24840,113,100.12
24850,113,100.12
25241,113,100.12
25454,113,100.12
25626,113,100.12
25791,113,100.12
25823,113,100.12
25865,113,100.12
25972,113,100.12
26045,113,100.12
26061,113,100.12
26295,113,100.12
26321,113,100.12
26400,113,100.12
26427,113,100.12
26486,113,100.12
26556,113,100.12
26792,113,100.12
26809,113,100.12
26830,113,100.12
26927,113,100.12
27086,113,100.12
27228,113,100.12
27663,113,100.12
27696,113,100.12
27794,113,100.12
27842,113,100.12
27879,113,100.12
27943,113,100.12
28003,113,100.12
28068,113,100.12
28096,113,100.12
28178,113,100.12
28181,113,100.12
28289,113,100.12
28292,113,100.12
28388,113,100.12
28397,113,100.12
28434,113,100.12
28451,113,100.12
28687,113,100.12
29072,113,100.12
